"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0016666,0,299.323,299.323,299.323,0.00106405,6.81854e-07,0,1,1,0,0,0,1.33518e-05,101327,101327,1
0.5,0,0,299.324,299.324,299.324,0.000548048,6.76854e-08,0,1,1,0,0,0,1.5234e-05,101327,101327,1
0.5,0.0016666,0.005,299.323,299.323,299.323,0.00106405,6.81854e-07,0,1,1,0,0,0,1.33518e-05,101327,101327,1
0.5,0,0.005,299.324,299.324,299.324,0.000548048,6.76854e-08,0,1,1,0,0,0,1.5234e-05,101327,101327,1
0.5,0.0033332,0.005,299.323,299.323,299.323,0.00206395,2.49048e-06,0,1,1,0,0,0,9.67833e-06,101327,101327,1
0.5,0.0033332,0,299.323,299.323,299.323,0.00206395,2.49048e-06,0,1,1,0,0,0,9.67833e-06,101327,101327,1
0.5,0.0049998,0.005,299.321,299.321,299.321,0.00299957,5.44049e-06,0,1,1,0,0,0,6.18759e-06,101327,101327,1
0.5,0.0049998,0,299.321,299.321,299.321,0.00299957,5.44049e-06,0,1,1,0,0,0,6.18759e-06,101327,101327,1
0.5,0.0066664,0.005,299.32,299.32,299.32,0.00387076,9.45521e-06,0,1,1,0,0,0,2.88182e-06,101327,101327,1
0.5,0.0066664,0,299.32,299.32,299.32,0.00387076,9.45521e-06,0,1,1,0,0,0,2.88182e-06,101327,101327,1
0.5,0.008333,0.005,299.319,299.319,299.319,0.00467738,1.44376e-05,0,1,1,0,0,0,-2.36565e-07,101327,101327,1
0.5,0.008333,0,299.319,299.319,299.319,0.00467738,1.44376e-05,0,1,1,0,0,0,-2.36565e-07,101327,101327,1
0.5,0.0099996,0.005,299.317,299.317,299.317,0.00541928,2.03099e-05,0,1,1,0,0,0,-3.16574e-06,101327,101327,1
0.5,0.0099996,0,299.317,299.317,299.317,0.00541928,2.03099e-05,0,1,1,0,0,0,-3.16574e-06,101327,101327,1
0.5,0.0116662,0.005,299.316,299.316,299.316,0.00609629,2.69944e-05,0,1,1,0,0,0,-5.90438e-06,101327,101327,1
0.5,0.0116662,0,299.316,299.316,299.316,0.00609629,2.69944e-05,0,1,1,0,0,0,-5.90438e-06,101327,101327,1
0.5,0.0133328,0.005,299.315,299.315,299.315,0.00670826,3.44123e-05,0,1,1,4.23192e-43,4.23192e-43,0,-8.45166e-06,101327,101327,1
0.5,0.0133328,0,299.315,299.315,299.315,0.00670826,3.44123e-05,0,1,1,4.23192e-43,4.23192e-43,0,-8.45166e-06,101327,101327,1
0.5,0.0149994,0.005,299.315,299.315,299.315,0.00725502,4.24845e-05,0,1,1,1.90322e-38,1.90322e-38,0,-1.0806e-05,101327,101327,1
0.5,0.0149994,0,299.315,299.315,299.315,0.00725502,4.24845e-05,0,1,1,1.90322e-38,1.90322e-38,0,-1.0806e-05,101327,101327,1
0.5,0.016666,0.005,299.314,299.314,299.314,0.0077364,5.11318e-05,0,1,1,8.99541e-35,8.99541e-35,0,-1.29657e-05,101327,101327,1
0.5,0.016666,0,299.314,299.314,299.314,0.0077364,5.11318e-05,0,1,1,8.99541e-35,8.99541e-35,0,-1.29657e-05,101327,101327,1
