"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
-0.000800192,1,0,0,0.0830819,0.005,299,299,299,-5.6442e-05,4.1822e-05,0,0.5,0.5,0.5,0.5,0,8.38813e-06,101327,101327,0.866826
-0.000230968,1,0,0.00166667,0.0830832,0.005,299.035,299.035,299.035,-0.000375516,8.39636e-05,0,0.5,0.5,0.5,0.5,0,1.68511e-05,101327,101327,0.866783
-0.000800192,1,0,0,0.0830819,0,299,299,299,-5.6442e-05,4.1822e-05,0,0.5,0.5,0.5,0.5,0,8.38813e-06,101327,101327,0.866826
0.000338256,1,0,0.00166667,0.0830832,0,299.035,299.035,299.035,-0.000375516,8.39636e-05,0,0.5,0.5,0.5,0.5,0,1.68511e-05,101327,101327,0.866783
0.000202656,1,0,0.00333333,0.0830817,0.005,299.07,299.07,299.07,-0.000175035,0.000441601,0,0.5,0.5,0.5,0.5,0,4.36103e-06,101327,101327,0.866741
-0.000502169,1,0,0.00333333,0.0830817,0,299.07,299.07,299.07,-0.000175035,0.000441601,0,0.5,0.5,0.5,0.5,0,4.36103e-06,101327,101327,0.866741
-0.000850856,1,0,0.005,0.0830837,0.005,299.102,299.102,299.102,0.00106729,0.000344168,0,0.5,0.5,0.5,0.5,0,-5.31337e-05,101327,101327,0.866701
-0.000494718,1,0,0.005,0.0830837,0,299.102,299.102,299.102,0.00106729,0.000344168,0,0.5,0.5,0.5,0.5,0,-5.31337e-05,101327,101327,0.866701
4.76837e-05,1,0,0.00666667,0.083084,0.005,299.133,299.133,299.133,0.00160482,-0.000102044,0,0.5,0.5,0.5,0.5,0,-8.34124e-05,101327,101327,0.866664
0.000233948,1,0,0.00666667,0.083084,0,299.133,299.133,299.133,0.00160482,-0.000102044,0,0.5,0.5,0.5,0.5,0,-8.34124e-05,101327,101327,0.866664
-0.00100582,0.999999,0,0.00833333,0.0830833,0.005,299.16,299.16,299.16,0.00124535,-3.13532e-05,0,0.5,0.5,0.5,0.5,0,-6.60467e-05,101327,101327,0.866631
-0.00243186,0.999997,0,0.00833333,0.0830833,0,299.16,299.16,299.16,0.00124535,-3.13532e-05,0,0.5,0.5,0.5,0.5,0,-6.60467e-05,101327,101327,0.866631
-0.00419166,0.999991,0,0.01,0.0830897,0.005,299.184,299.184,299.184,0.00095489,5.58117e-05,0,0.5,0.5,0.5,0.5,0,-4.89112e-05,101327,101327,0.866601
-0.00452544,0.99999,0,0.01,0.0830897,0,299.184,299.184,299.184,0.00095489,5.58117e-05,0,0.5,0.5,0.5,0.5,0,-4.89112e-05,101327,101327,0.866601
-0.00535391,0.999986,0,0.0116667,0.0830978,0.005,299.205,299.205,299.205,0.00127516,0.000220041,0,0.5,0.5,0.5,0.5,0,-4.46509e-05,101327,101327,0.866575
-0.0058486,0.999983,0,0.0116667,0.0830978,0,299.205,299.205,299.205,0.00127516,0.000220041,0,0.5,0.5,0.5,0.5,0,-4.46509e-05,101327,101327,0.866575
-0.00646697,0.999979,0,0.0133333,0.0831084,0.005,299.223,299.223,299.223,0.00226866,0.00021664,0,0.5,0.5,0.5,0.5,0,-6.41561e-05,101327,101327,0.866554
