"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0016666,0,299.42,299.42,299.42,0.00103536,7.9759e-07,0,1,1,0,0,0,1.48827e-05,101325,101325,1
0.5,0,0,299.419,299.419,299.419,0.000533107,7.62872e-08,0,1,1,0,0,0,1.66296e-05,101325,101325,1
0.5,0.0016666,0.005,299.42,299.42,299.42,0.00103536,7.9759e-07,0,1,1,0,0,0,1.48827e-05,101325,101325,1
0.5,0,0.005,299.419,299.419,299.419,0.000533107,7.62872e-08,0,1,1,0,0,0,1.66296e-05,101325,101325,1
0.5,0.0033332,0.005,299.419,299.419,299.419,0.00201024,2.92367e-06,0,1,1,0,0,0,1.14714e-05,101325,101325,1
0.5,0.0033332,0,299.419,299.419,299.419,0.00201024,2.92367e-06,0,1,1,0,0,0,1.14714e-05,101325,101325,1
0.5,0.0049998,0.005,299.418,299.418,299.418,0.00292412,6.39083e-06,0,1,1,0,0,0,8.2024e-06,101325,101325,1
0.5,0.0049998,0,299.418,299.418,299.418,0.00292412,6.39083e-06,0,1,1,0,0,0,8.2024e-06,101325,101325,1
0.5,0.0066664,0.005,299.417,299.417,299.417,0.00377648,1.11066e-05,0,1,1,0,0,0,5.08282e-06,101325,101325,1
0.5,0.0066664,0,299.417,299.417,299.417,0.00377648,1.11066e-05,0,1,1,0,0,0,5.08282e-06,101325,101325,1
0.5,0.008333,0.005,299.416,299.416,299.416,0.00456682,1.69581e-05,0,1,1,0,0,0,2.11939e-06,101325,101325,1
0.5,0.008333,0,299.416,299.416,299.416,0.00456682,1.69581e-05,0,1,1,0,0,0,2.11939e-06,101325,101325,1
0.5,0.0099996,0.005,299.415,299.415,299.415,0.00529466,2.38535e-05,0,1,1,0,0,0,-6.83344e-07,101325,101325,1
0.5,0.0099996,0,299.415,299.415,299.415,0.00529466,2.38535e-05,0,1,1,0,0,0,-6.83344e-07,101325,101325,1
0.5,0.0116662,0.005,299.414,299.414,299.414,0.00595953,3.17012e-05,0,1,1,0,0,0,-3.32145e-06,101325,101325,1
0.5,0.0116662,0,299.414,299.414,299.414,0.00595953,3.17012e-05,0,1,1,0,0,0,-3.32145e-06,101325,101325,1
0.5,0.0133328,0.005,299.413,299.413,299.413,0.00656099,4.04081e-05,0,1,1,0,0,0,-5.79076e-06,101325,101325,1
0.5,0.0133328,0,299.413,299.413,299.413,0.00656099,4.04081e-05,0,1,1,0,0,0,-5.79076e-06,101325,101325,1
0.5,0.0149994,0.005,299.412,299.412,299.412,0.00709862,4.98813e-05,0,1,1,0,0,0,-8.09069e-06,101325,101325,1
0.5,0.0149994,0,299.412,299.412,299.412,0.00709862,4.98813e-05,0,1,1,0,0,0,-8.09069e-06,101325,101325,1
0.5,0.016666,0.005,299.411,299.411,299.411,0.00757202,6.00278e-05,0,1,1,0,0,0,-1.02197e-05,101325,101325,1
0.5,0.016666,0,299.411,299.411,299.411,0.00757202,6.00278e-05,0,1,1,0,0,0,-1.02197e-05,101325,101325,1
0.5,0.0183326,0.005,299.41,299.41,299.41,0.00798083,7.07552e-05,0,1,1,0,0,0,-1.21766e-05,101325,101325,1
0.5,0.0183326,0,299.41,299.41,299.41,0.00798083,7.07552e-05,0,1,1,0,0,0,-1.21766e-05,101325,101325,1
0.5,0.0199992,0.005,299.41,299.41,299.41,0.00832473,8.19712e-05,0,1,1,0,0,0,-1.39619e-05,101325,101325,1
0.5,0.0199992,0,299.41,299.41,299.41,0.00832473,8.19712e-05,0,1,1,0,0,0,-1.39619e-05,101325,101325,1
0.5,0.0216658,0.005,299.41,299.41,299.41,0.0086034,9.35839e-05,0,1,1,0,0,0,-1.55746e-05,101325,101325,1
0.5,0.0216658,0,299.41,299.41,299.41,0.0086034,9.35839e-05,0,1,1,0,0,0,-1.55746e-05,101325,101325,1
0.5,0.0233324,0.005,299.411,299.411,299.411,0.00881658,0.000105502,0,1,1,0,0,0,-1.7015e-05,101325,101325,1
0.5,0.0233324,0,299.411,299.411,299.411,0.00881658,0.000105502,0,1,1,0,0,0,-1.7015e-05,101325,101325,1
0.5,0.024999,0.005,299.412,299.412,299.412,0.00896403,0.000117633,0,1,1,0,0,0,-1.8283e-05,101325,101325,1
0.5,0.024999,0,299.412,299.412,299.412,0.00896403,0.000117633,0,1,1,0,0,0,-1.8283e-05,101325,101325,1
0.5,0.0266656,0.005,299.414,299.414,299.414,0.00904554,0.00012989,0,1,1,0,0,0,-1.93781e-05,101325,101325,1
0.5,0.0266656,0,299.414,299.414,299.414,0.00904554,0.00012989,0,1,1,0,0,0,-1.93781e-05,101325,101325,1
0.5,0.0283322,0.005,299.416,299.416,299.416,0.00906096,0.000142179,0,1,1,0,0,0,-2.03005e-05,101325,101325,1
0.5,0.0283322,0,299.416,299.416,299.416,0.00906096,0.000142179,0,1,1,0,0,0,-2.03005e-05,101325,101325,1
0.5,0.0299988,0.005,299.418,299.418,299.418,0.00901016,0.000154409,0,1,1,0,0,0,-2.10502e-05,101325,101325,1
