"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
4.47035e-06,1,0,0,0.0832976,0.005,299,299,299,1.99029e-06,-3.1708e-06,0,0.5,0.5,0.5,0.5,0,3.5871e-07,101326,101326,0.866822
5.96046e-06,1,0,0.00166667,0.0832976,0.005,299.013,299.013,299.013,-1.36844e-05,-4.0744e-06,0,0.5,0.5,0.5,0.5,0,3.64161e-07,101326,101326,0.866806
4.47035e-06,1,0,0,0.0832976,0,299,299,299,1.99029e-06,-3.1708e-06,0,0.5,0.5,0.5,0.5,0,3.5871e-07,101326,101326,0.866822
7.45058e-06,1,0,0.00166667,0.0832976,0,299.013,299.013,299.013,-1.36844e-05,-4.0744e-06,0,0.5,0.5,0.5,0.5,0,3.64161e-07,101326,101326,0.866806
1.78814e-05,1,0,0.00333333,0.0832976,0.005,299.027,299.027,299.027,-3.68932e-05,-6.51972e-06,0,0.5,0.5,0.5,0.5,0,4.07124e-07,101326,101326,0.866789
2.68221e-05,1,0,0.00333333,0.0832976,0,299.027,299.027,299.027,-3.68932e-05,-6.51972e-06,0,0.5,0.5,0.5,0.5,0,4.07124e-07,101326,101326,0.866789
6.4075e-05,1,0,0.005,0.0832975,0.005,299.04,299.04,299.04,-5.68515e-05,-9.32765e-06,0,0.5,0.5,0.5,0.5,0,5.09593e-07,101326,101326,0.866773
9.23872e-05,1,0,0.005,0.0832975,0,299.04,299.04,299.04,-5.68515e-05,-9.32765e-06,0,0.5,0.5,0.5,0.5,0,5.09593e-07,101326,101326,0.866773
0.000165403,1,0,0.00666667,0.0832973,0.005,299.053,299.053,299.053,-8.37316e-05,-1.24669e-05,0,0.5,0.5,0.5,0.5,0,6.99276e-07,101326,101326,0.866757
0.000210106,1,0,0.00666667,0.0832973,0,299.053,299.053,299.053,-8.37316e-05,-1.24669e-05,0,0.5,0.5,0.5,0.5,0,6.99276e-07,101326,101326,0.866757
0.000302494,1,0,0.00833333,0.0832969,0.005,299.066,299.066,299.066,-0.000115135,-1.51343e-05,0,0.5,0.5,0.5,0.5,0,1.03177e-06,101326,101326,0.866741
0.000350177,1,0,0.00833333,0.0832969,0,299.066,299.066,299.066,-0.000115135,-1.51343e-05,0,0.5,0.5,0.5,0.5,0,1.03177e-06,101326,101326,0.866741
0.000454485,1,0,0.01,0.0832963,0.005,299.078,299.078,299.078,-0.000152423,-1.74259e-05,0,0.5,0.5,0.5,0.5,0,1.49352e-06,101326,101326,0.866726
0.00051111,1,0,0.01,0.0832963,0,299.078,299.078,299.078,-0.000152423,-1.74259e-05,0,0.5,0.5,0.5,0.5,0,1.49352e-06,101326,101326,0.866726
0.000628829,1,0,0.0116667,0.0832953,0.005,299.09,299.09,299.09,-0.00019844,-2.01239e-05,0,0.5,0.5,0.5,0.5,0,2.06778e-06,101326,101326,0.866711
0.000689923,1,0,0.0116667,0.0832953,0,299.09,299.09,299.09,-0.00019844,-2.01239e-05,0,0.5,0.5,0.5,0.5,0,2.06778e-06,101326,101326,0.866711
0.000806153,1,0,0.0133333,0.0832941,0.005,299.102,299.102,299.102,-0.000257219,-2.25426e-05,0,0.5,0.5,0.5,0.5,0,2.73548e-06,101326,101326,0.866697
